Instruction,Response
What is kinetic energy?,Kinetic energy is the energy an object has because of its motion.
Can you explain a base?,A base is a substance that can accept hydrogen ions or produce hydroxide ions in water.
Explain a tissue?,A tissue is a group of similar cells working together to perform a particular function.
How would you define a mineral?,A mineral is a naturally occurring inorganic solid with a characteristic chemical composition and crystal structure.
Give a simple explanation of a solar eclipse?,A solar eclipse occurs when the Moon passes between Earth and the Sun and blocks some or all of the Sun's light.
What is gravity?,Gravity is a force that attracts objects with mass toward one another.
Can you explain a molecule?,A molecule is a group of two or more atoms chemically bonded together.
Explain photosynthesis?,Photosynthesis is the process by which plants use light energy to make chemical energy from carbon dioxide and water.
How would you define weather?,Weather describes the short-term condition of the atmosphere at a particular place and time.
Give a simple explanation of the Moon?,The Moon is Earth's natural satellite and orbits Earth.
What is kinetic energy?,Kinetic energy is the energy an object has because of its motion.
Can you explain a base?,A base is a substance that can accept hydrogen ions or produce hydroxide ions in water.
Explain a tissue?,A tissue is a group of similar cells working together to perform a particular function.
How would you define a mineral?,A mineral is a naturally occurring inorganic solid with a characteristic chemical composition and crystal structure.
Give a simple explanation of a solar eclipse?,A solar eclipse occurs when the Moon passes between Earth and the Sun and blocks some or all of the Sun's light.
What is gravity?,Gravity is a force that attracts objects with mass toward one another.
Can you explain a molecule?,A molecule is a group of two or more atoms chemically bonded together.
Explain photosynthesis?,Photosynthesis is the process by which plants use light energy to make chemical energy from carbon dioxide and water.
How would you define weather?,Weather describes the short-term condition of the atmosphere at a particular place and time.
Give a simple explanation of the Moon?,The Moon is Earth's natural satellite and orbits Earth.
What is kinetic energy?,Kinetic energy is the energy an object has because of its motion.
Can you explain a base?,A base is a substance that can accept hydrogen ions or produce hydroxide ions in water.
Explain a tissue?,A tissue is a group of similar cells working together to perform a particular function.
How would you define a mineral?,A mineral is a naturally occurring inorganic solid with a characteristic chemical composition and crystal structure.
Give a simple explanation of a solar eclipse?,A solar eclipse occurs when the Moon passes between Earth and the Sun and blocks some or all of the Sun's light.
What is gravity?,Gravity is a force that attracts objects with mass toward one another.
Can you explain a molecule?,A molecule is a group of two or more atoms chemically bonded together.
Explain photosynthesis?,Photosynthesis is the process by which plants use light energy to make chemical energy from carbon dioxide and water.
How would you define weather?,Weather describes the short-term condition of the atmosphere at a particular place and time.
Give a simple explanation of the Moon?,The Moon is Earth's natural satellite and orbits Earth.
What is kinetic energy?,Kinetic energy is the energy an object has because of its motion.
Can you explain a base?,A base is a substance that can accept hydrogen ions or produce hydroxide ions in water.
Explain a tissue?,A tissue is a group of similar cells working together to perform a particular function.
